# time  DeltaF
2500 10.7777
5000 7.85147
7500 7.96907
10000 8.53369
12500 8.81611
15000 8.80451
17500 8.46735
20000 7.65415
22500 7.52348
25000 7.536
27500 7.57658
30000 7.65065
32500 7.81229
35000 7.98743
37500 8.15509
40000 8.38739
42500 8.61847
45000 8.912
47500 8.93178
50000 8.92968
52500 8.92262
55000 8.89892
57500 8.83842
60000 8.71485
62500 8.50121
65000 8.25099
67500 7.92399
70000 7.56474
72500 7.20854
75000 7.20917
77500 7.21044
80000 7.21238
82500 7.21507
85000 7.2187
87500 7.22434
90000 7.23151
92500 7.23951
95000 7.25244
97500 7.27227
100000 7.29542
102500 7.32111
105000 7.35097
107500 7.3861
110000 7.42262
112500 7.46256
115000 7.5105
117500 7.56229
120000 7.60923
122500 7.66009
125000 7.72061
127500 7.77991
130000 7.84169
132500 7.90298
135000 7.9633
137500 8.04569
140000 8.11622
142500 8.11799
145000 8.11785
147500 8.11757
150000 8.11712
152500 8.11627
155000 8.11434
157500 8.11227
160000 8.10956
162500 8.10532
165000 8.09935
167500 8.0893
170000 8.07339
172500 8.0573
175000 8.03409
177500 8.00669
180000 7.96971
182500 7.91527
185000 7.86321
187500 7.79673
190000 7.7309
192500 7.65305
195000 7.60079
197500 7.51869
200000 7.42729
202500 7.31182
205000 7.20208
207500 7.10056
210000 6.9976
212500 6.88916
215000 6.77992
217500 6.77477
220000 6.77498
222500 6.77524
225000 6.77556
227500 6.77598
230000 6.77648
232500 6.77707
235000 6.77777
237500 6.77845
240000 6.7793
242500 6.78025
245000 6.78185
247500 6.78333
250000 6.78483
252500 6.7865
255000 6.78814
257500 6.79028
260000 6.79249
262500 6.79535
265000 6.79915
267500 6.80228
270000 6.80544
272500 6.80943
275000 6.81495
277500 6.81938
280000 6.82423
282500 6.82908
285000 6.83424
287500 6.84129
290000 6.84741
292500 6.85328
295000 6.86066
297500 6.86908
300000 6.87893
302500 6.88722
305000 6.90044
307500 6.90945
310000 6.9189
312500 6.92894
315000 6.94036
317500 6.95841
320000 6.97542
322500 6.98859
325000 7.00574
327500 7.02865
330000 7.05163
332500 7.07251
335000 7.09526
337500 7.12056
340000 7.14133
342500 7.16462
345000 7.18846
347500 7.21435
350000 7.23035
352500 7.25219
355000 7.28147
357500 7.30343
360000 7.32219
362500 7.34726
365000 7.37614
367500 7.39767
370000 7.41798
372500 7.44471
375000 7.47514
377500 7.49722
380000 7.51907
382500 7.54008
385000 7.57121
387500 7.57112
390000 7.57102
392500 7.5709
395000 7.57074
397500 7.57053
400000 7.57028
402500 7.56996
405000 7.56961
407500 7.56916
410000 7.5687
412500 7.56811
415000 7.56736
417500 7.56658
420000 7.56562
422500 7.56454
425000 7.56332
427500 7.56195
430000 7.56034
432500 7.55851
435000 7.55646
437500 7.55432
440000 7.55148
442500 7.54888
445000 7.54558
447500 7.54244
450000 7.53867
452500 7.53453
455000 7.53009
457500 7.52493
460000 7.51946
462500 7.51391
465000 7.50782
467500 7.50108
470000 7.49347
472500 7.4859
475000 7.47715
477500 7.46749
480000 7.4581
482500 7.44145
485000 7.4251
487500 7.40667
490000 7.39009
492500 7.37687
495000 7.36243
497500 7.34739
500000 7.32772
502500 7.31131
505000 7.29422
507500 7.27677
510000 7.25738
512500 7.23817
515000 7.2145
517500 7.19237
520000 7.17087
522500 7.14824
525000 7.12482
527500 7.09898
530000 7.07537
532500 7.0482
535000 7.0159
537500 6.98433
540000 6.95479
542500 6.9156
545000 6.8765
547500 6.83602
550000 6.79513
552500 6.76279
555000 6.73435
557500 6.70429
560000 6.67647
562500 6.64667
565000 6.61376
567500 6.57513
570000 6.53499
572500 6.53509
575000 6.5352
577500 6.53533
580000 6.53548
582500 6.53562
585000 6.53577
587500 6.53596
590000 6.53615
592500 6.53637
595000 6.53658
597500 6.53681
600000 6.53709
602500 6.53737
605000 6.53767
607500 6.53799
610000 6.53835
612500 6.5387
615000 6.5391
617500 6.53938
620000 6.53964
622500 6.53989
625000 6.54015
627500 6.54043
630000 6.54072
632500 6.54103
635000 6.54137
637500 6.54182
640000 6.54218
642500 6.54255
645000 6.54291
647500 6.54332
650000 6.54397
652500 6.54455
655000 6.54498
657500 6.54565
660000 6.54638
662500 6.54704
665000 6.54756
667500 6.54809
670000 6.54896
672500 6.54986
675000 6.5508
677500 6.55146
680000 6.55211
682500 6.55284
685000 6.5536
687500 6.55435
690000 6.55516
692500 6.55595
695000 6.55678
697500 6.5577
700000 6.5587
702500 6.56018
705000 6.56166
707500 6.56302
710000 6.56449
712500 6.56592
715000 6.56708
717500 6.56872
720000 6.57016
722500 6.57198
725000 6.5739
727500 6.57562
730000 6.57728
732500 6.5787
735000 6.58019
737500 6.58187
740000 6.58365
742500 6.58561
745000 6.58719
747500 6.5889
750000 6.59071
752500 6.59239
755000 6.59423
757500 6.5961
760000 6.59801
762500 6.59999
765000 6.60193
767500 6.60392
770000 6.60687
772500 6.60975
775000 6.61187
777500 6.61413
780000 6.61663
782500 6.61958
785000 6.62199
787500 6.62514
790000 6.62851
792500 6.63195
795000 6.63487
797500 6.63819
800000 6.6415
802500 6.64511
805000 6.64868
807500 6.65236
810000 6.65584
812500 6.65921
815000 6.66292
817500 6.66654
820000 6.67033
822500 6.67411
825000 6.67732
827500 6.68004
830000 6.68302
832500 6.68659
835000 6.68966
837500 6.6926
840000 6.69569
842500 6.69975
845000 6.70416
847500 6.70852
850000 6.71297
852500 6.71753
855000 6.72234
857500 6.72712
860000 6.73199
862500 6.73643
865000 6.74158
867500 6.74704
870000 6.75259
872500 6.75755
875000 6.76276
877500 6.76823
880000 6.77385
882500 6.77891
885000 6.78461
887500 6.79003
890000 6.79539
892500 6.80078
895000 6.8066
897500 6.81232
900000 6.81795
902500 6.8241
905000 6.8299
907500 6.83602
910000 6.84233
912500 6.84874
915000 6.85485
917500 6.86076
920000 6.86662
922500 6.87401
925000 6.88079
927500 6.88732
930000 6.8935
932500 6.90016
935000 6.90685
937500 6.91355
940000 6.92032
942500 6.92774
945000 6.93466
947500 6.94185
950000 6.94889
952500 6.95622
955000 6.9635
957500 6.97066
960000 6.97774
962500 6.98611
965000 6.99691
967500 7.00722
970000 7.01752
972500 7.02714
975000 7.03633
977500 7.04362
980000 7.05078
982500 7.05836
985000 7.06548
987500 7.07322
990000 7.07963
992500 7.08668
995000 7.09324
997500 7.10053
1e+06 7.10787
