# time  av_DeltaF  std_DeltaF
537500 4.78469 1.63484
540000 4.78769 1.63515
542500 4.79054 1.63552
545000 4.79347 1.63579
547500 4.79635 1.63613
550000 4.79917 1.63651
552500 4.80196 1.63693
555000 4.80484 1.6374
557500 4.8075 1.6378
560000 4.81022 1.6383
562500 4.81301 1.63881
565000 4.81567 1.63934
567500 4.81834 1.63991
570000 4.82093 1.64048
572500 4.82356 1.64106
575000 4.8261 1.64159
577500 4.82856 1.64221
580000 4.83112 1.64275
582500 4.83372 1.64333
585000 4.83621 1.64403
587500 4.8388 1.6447
590000 4.84173 1.64495
592500 4.84495 1.64492
595000 4.84813 1.64492
597500 4.85131 1.64491
600000 4.85445 1.64492
602500 4.85763 1.64487
605000 4.86068 1.64492
607500 4.86371 1.64502
610000 4.86679 1.64503
612500 4.86981 1.64507
615000 4.87274 1.64523
617500 4.87573 1.64523
620000 4.87869 1.64532
622500 4.88179 1.64534
625000 4.88473 1.64548
627500 4.88767 1.64565
630000 4.8906 1.64582
632500 4.89345 1.64598
635000 4.89636 1.64611
637500 4.89916 1.64634
640000 4.90198 1.64655
642500 4.9046 1.6469
645000 4.90704 1.64725
647500 4.9095 1.64766
650000 4.91191 1.64814
652500 4.91437 1.64855
655000 4.91671 1.64902
657500 4.91904 1.64948
660000 4.9214 1.65004
662500 4.92369 1.65056
665000 4.92592 1.65118
667500 4.92828 1.65167
670000 4.93052 1.65232
672500 4.93283 1.6529
675000 4.9351 1.65361
677500 4.93698 1.65421
680000 4.93892 1.65477
682500 4.94082 1.65529
685000 4.94259 1.65587
687500 4.94447 1.65635
690000 4.94615 1.65624
692500 4.94774 1.65599
695000 4.94923 1.65566
697500 4.95078 1.65533
700000 4.95286 1.65432
702500 4.95492 1.6532
705000 4.95698 1.65217
707500 4.9591 1.6511
710000 4.96123 1.65001
712500 4.96325 1.64898
715000 4.96533 1.64791
717500 4.96742 1.64691
720000 4.96944 1.64579
722500 4.97128 1.64499
725000 4.97292 1.64429
727500 4.9745 1.6434
730000 4.97601 1.64266
732500 4.97761 1.64187
735000 4.97914 1.64116
737500 4.98068 1.64053
740000 4.98218 1.63978
742500 4.98373 1.6391
745000 4.98526 1.63845
747500 4.9868 1.63782
750000 4.98831 1.63713
752500 4.98985 1.63653
755000 4.99138 1.63613
757500 4.99288 1.63546
760000 4.99431 1.63489
762500 4.99575 1.63426
765000 4.99715 1.63366
767500 4.99852 1.63318
770000 4.99995 1.6326
772500 5.00089 1.63238
775000 5.00168 1.63231
777500 5.00264 1.63216
780000 5.00348 1.63205
782500 5.00432 1.63198
785000 5.00517 1.63187
787500 5.00605 1.63183
790000 5.00691 1.63178
792500 5.00775 1.63173
795000 5.00857 1.6317
797500 5.00938 1.63178
800000 5.01019 1.6318
802500 5.01096 1.63183
805000 5.01171 1.63189
807500 5.01252 1.63184
810000 5.01325 1.6319
