# time  av_DeltaF  std_DeltaF
537500 4.87649 1.67766
540000 4.87927 1.67806
542500 4.88193 1.67857
545000 4.88468 1.67892
547500 4.88739 1.67938
550000 4.89003 1.67987
552500 4.89264 1.6804
555000 4.89534 1.68097
557500 4.89784 1.68146
560000 4.9004 1.68208
562500 4.90304 1.68272
565000 4.90555 1.68335
567500 4.90807 1.684
570000 4.91051 1.68468
572500 4.91301 1.68534
575000 4.9154 1.68597
577500 4.91773 1.6867
580000 4.92016 1.68734
582500 4.92266 1.68801
585000 4.92506 1.68879
587500 4.92752 1.68956
590000 4.93031 1.68988
592500 4.93339 1.68992
595000 4.93644 1.68999
597500 4.93948 1.69004
600000 4.94249 1.69014
602500 4.94555 1.69014
605000 4.94848 1.69024
607500 4.95138 1.69039
610000 4.95435 1.69045
612500 4.95725 1.69056
615000 4.96006 1.69078
617500 4.96294 1.69084
620000 4.96579 1.691
622500 4.96879 1.69104
625000 4.97164 1.69121
627500 4.97452 1.6914
630000 4.97738 1.69161
632500 4.98014 1.6918
635000 4.98296 1.69197
637500 4.98568 1.69223
640000 4.98843 1.69244
642500 4.9909 1.69286
645000 4.99317 1.69329
647500 4.99549 1.69375
650000 4.99774 1.69428
652500 5.00005 1.69475
655000 5.00225 1.69529
657500 5.00445 1.69581
660000 5.00668 1.69643
662500 5.00884 1.697
665000 5.01095 1.69766
667500 5.01321 1.6982
670000 5.01532 1.69889
672500 5.01753 1.69947
675000 5.01969 1.70022
677500 5.02126 1.70082
680000 5.0229 1.70139
682500 5.02441 1.70202
685000 5.02586 1.70259
687500 5.02743 1.70307
690000 5.02818 1.70066
692500 5.02863 1.6975
695000 5.029 1.69434
697500 5.02959 1.69162
700000 5.0308 1.68866
702500 5.03179 1.68492
705000 5.03294 1.68175
707500 5.03413 1.67851
710000 5.03531 1.67514
712500 5.0364 1.67189
715000 5.03765 1.66904
717500 5.03896 1.66629
720000 5.04005 1.66294
722500 5.04112 1.66059
725000 5.04194 1.65825
727500 5.04247 1.65483
730000 5.04304 1.652
732500 5.0438 1.64941
735000 5.04454 1.6471
737500 5.04533 1.64499
740000 5.04597 1.64247
742500 5.04679 1.64038
745000 5.0476 1.63824
747500 5.04842 1.63623
750000 5.04912 1.63388
752500 5.05001 1.6321
755000 5.05101 1.63085
757500 5.05176 1.62872
760000 5.05252 1.62682
762500 5.05323 1.62468
765000 5.05397 1.62291
767500 5.05472 1.62131
770000 5.05553 1.61958
772500 5.05587 1.61823
775000 5.05602 1.61703
777500 5.05642 1.61595
780000 5.0567 1.61488
782500 5.05693 1.61375
785000 5.05721 1.61271
787500 5.05758 1.61193
790000 5.05793 1.611
792500 5.05828 1.61017
795000 5.05863 1.60935
797500 5.05896 1.60868
800000 5.05931 1.60798
802500 5.05959 1.60724
805000 5.05993 1.60672
807500 5.06028 1.60599
810000 5.06059 1.60541
812500 5.06088 1.60488
815000 5.06124 1.6043
817500 5.06147 1.60347
820000 5.06181 1.60298
822500 5.0621 1.60239
825000 5.06238 1.60191
827500 5.06253 1.60119
830000 5.06282 1.6008
832500 5.06297 1.60027
835000 5.06315 1.59963
837500 5.06343 1.59926
840000 5.06368 1.59895
842500 5.06388 1.59856
845000 5.06471 1.59835
847500 5.06548 1.59825
850000 5.06614 1.59799
852500 5.0668 1.59759
855000 5.06749 1.59732
857500 5.06812 1.59699
860000 5.06865 1.59663
862500 5.06919 1.59597
865000 5.06987 1.59574
867500 5.07052 1.59551
870000 5.07122 1.59541
872500 5.07188 1.59542
875000 5.07255 1.59522
877500 5.07317 1.59509
880000 5.07373 1.59494
882500 5.07445 1.59498
885000 5.07507 1.59482
887500 5.07573 1.59488
890000 5.07628 1.59512
892500 5.07685 1.59518
895000 5.0774 1.59524
897500 5.07805 1.59495
900000 5.07928 1.59375
902500 5.08058 1.59279
905000 5.08181 1.59184
907500 5.08305 1.59076
910000 5.08433 1.59001
912500 5.08554 1.58914
915000 5.08684 1.58838
917500 5.08803 1.58743
920000 5.08929 1.58668
922500 5.09036 1.58582
925000 5.09123 1.58479
927500 5.09205 1.5837
930000 5.093 1.58296
932500 5.0939 1.5822
935000 5.09477 1.58144
937500 5.09566 1.58057
940000 5.0966 1.57975
942500 5.0975 1.57914
945000 5.09828 1.57823
947500 5.09921 1.57742
950000 5.10003 1.57672
952500 5.10097 1.57609
955000 5.10183 1.57534
957500 5.10262 1.57463
960000 5.10348 1.57395
962500 5.10428 1.57339
965000 5.10507 1.57264
967500 5.10593 1.572
970000 5.10695 1.57096
972500 5.10816 1.56994
975000 5.10937 1.56885
977500 5.1106 1.56783
980000 5.11173 1.56663
982500 5.11289 1.56533
985000 5.11415 1.56424
987500 5.1153 1.56327
990000 5.11629 1.56229
992500 5.11703 1.5612
995000 5.11781 1.56011
997500 5.11868 1.55917
1e+06 5.1195 1.55839
