# time  av_DeltaF  std_DeltaF
540000 7.2344 4.56964
542500 7.17913 4.62001
545000 7.13364 4.66487
547500 7.09304 4.71898
550000 7.05158 4.77959
552500 7.0069 4.84634
555000 6.99033 4.88681
557500 6.96094 4.89267
560000 6.96199 4.88133
562500 6.95376 4.83495
565000 6.93981 4.78039
567500 6.92626 4.73707
570000 6.92628 4.68802
572500 6.92739 4.64702
575000 6.92954 4.61623
577500 6.92141 4.57292
580000 6.90933 4.51671
582500 6.9104 4.4514
585000 6.91313 4.40159
587500 6.91442 4.35915
590000 6.9144 4.32649
592500 6.91506 4.30401
595000 6.91791 4.28999
597500 6.91972 4.28587
600000 6.9236 4.2903
602500 6.92784 4.30133
605000 6.93296 4.32032
607500 6.93556 4.34826
610000 6.9396 4.38107
612500 6.94328 4.4229
615000 6.9488 4.46857
617500 6.96389 4.51021
620000 6.9881 4.54339
622500 7.01983 4.56756
625000 7.05109 4.60011
627500 7.0849 4.63386
630000 7.11551 4.67527
632500 7.14753 4.7253
635000 7.18018 4.77738
637500 7.22457 4.81605
640000 7.27239 4.85478
642500 7.31689 4.88553
645000 7.34532 4.90894
647500 7.37653 4.93453
650000 7.42907 4.9344
652500 7.4792 4.92202
655000 7.52969 4.88699
657500 7.59401 4.84067
660000 7.66566 4.78667
662500 7.7454 4.72539
665000 7.82545 4.66619
667500 7.90458 4.61287
670000 7.9836 4.56501
672500 8.06329 4.52256
675000 8.13766 4.48363
677500 8.19701 4.42543
680000 8.26047 4.37076
682500 8.32132 4.32284
685000 8.38122 4.28282
687500 8.44079 4.24492
690000 8.50162 4.21629
692500 8.56232 4.1918
695000 8.62066 4.17176
697500 8.67777 4.15688
700000 8.73537 4.14793
702500 8.79397 4.14272
705000 8.85269 4.14252
707500 8.91056 4.14793
710000 8.9602 4.13433
712500 9.00208 4.10843
715000 9.0452 4.08969
717500 9.08632 4.07824
720000 9.12739 4.07038
722500 9.1696 4.06858
725000 9.21 4.07155
727500 9.25022 4.07742
730000 9.29035 4.0895
732500 9.32979 4.10744
735000 9.37277 4.12895
737500 9.41111 4.15553
740000 9.45151 4.18419
742500 9.49359 4.21644
745000 9.53298 4.25342
747500 9.57397 4.29701
750000 9.61461 4.34074
752500 9.65434 4.38707
755000 9.71381 4.40086
757500 9.77742 4.41078
760000 9.84169 4.42303
762500 9.90321 4.44031
765000 9.96538 4.45823
767500 10.0267 4.481
770000 10.0882 4.50513
772500 10.1486 4.53103
775000 10.2076 4.55976
777500 10.2534 4.56529
780000 10.2999 4.57644
782500 10.3469 4.59154
785000 10.3928 4.6075
787500 10.4389 4.62883
790000 10.484 4.65209
792500 10.5306 4.67765
795000 10.576 4.70563
797500 10.6275 4.72923
800000 10.6831 4.74635
802500 10.7399 4.76561
805000 10.7951 4.78881
807500 10.8504 4.81304
810000 10.9171 4.81762
812500 10.9794 4.82134
815000 11.0213 4.82091
817500 11.0632 4.82463
820000 11.0948 4.81964
822500 11.1245 4.81627
825000 11.1532 4.81773
827500 11.1819 4.82145
830000 11.2107 4.82851
