# time  av_DeltaF  std_DeltaF
537500 2.85725 0.446208
540000 2.85514 0.4467
542500 2.85344 0.447088
545000 2.85262 0.447184
547500 2.85144 0.447817
550000 2.84963 0.448975
552500 2.84723 0.450717
555000 2.84702 0.450732
557500 2.84663 0.450242
560000 2.84893 0.449605
562500 2.85154 0.448815
565000 2.85378 0.44801
567500 2.85572 0.447521
570000 2.85817 0.446826
572500 2.86033 0.446205
575000 2.86214 0.445928
577500 2.86356 0.445631
580000 2.86493 0.445212
582500 2.8677 0.444178
585000 2.87018 0.443305
587500 2.87241 0.44288
590000 2.87415 0.442756
592500 2.87567 0.442965
595000 2.87682 0.443655
597500 2.87762 0.444671
600000 2.878 0.446376
602500 2.87828 0.448056
605000 2.87814 0.450328
607500 2.87755 0.453093
610000 2.87661 0.45623
612500 2.87518 0.459618
615000 2.87331 0.463515
617500 2.87151 0.468102
620000 2.87034 0.47095
622500 2.87014 0.471867
625000 2.86914 0.473567
627500 2.86817 0.475461
630000 2.86636 0.478203
632500 2.864 0.481676
635000 2.86152 0.485626
637500 2.86048 0.489762
640000 2.85982 0.493889
642500 2.85912 0.496786
645000 2.85755 0.500007
647500 2.85578 0.503692
650000 2.85651 0.505108
652500 2.85775 0.506178
655000 2.85964 0.507242
657500 2.86286 0.507425
660000 2.8673 0.506576
662500 2.87291 0.504632
665000 2.87855 0.502537
667500 2.88423 0.50051
670000 2.88985 0.49848
672500 2.89554 0.496404
675000 2.90099 0.494331
677500 2.90624 0.492011
680000 2.91157 0.489547
682500 2.91677 0.487139
685000 2.92184 0.484788
687500 2.9269 0.482358
690000 2.93194 0.479972
692500 2.93687 0.47754
695000 2.94162 0.475121
697500 2.94625 0.472715
700000 2.95076 0.470257
702500 2.95523 0.467739
705000 2.95968 0.465165
707500 2.96392 0.462501
710000 2.968 0.459614
712500 2.97178 0.456554
715000 2.97552 0.453358
717500 2.97899 0.450114
720000 2.98226 0.446752
722500 2.98539 0.443346
725000 2.9883 0.439752
727500 2.99099 0.436218
730000 2.99353 0.432476
732500 2.99577 0.428463
735000 2.99801 0.424425
737500 2.99971 0.420294
740000 3.00125 0.416097
742500 3.00282 0.411923
745000 3.00378 0.406937
747500 3.00467 0.402667
750000 3.00538 0.397943
752500 3.00578 0.39303
755000 3.00895 0.390179
757500 3.0128 0.389162
760000 3.01657 0.388194
762500 3.02007 0.387216
765000 3.02353 0.386331
767500 3.02684 0.385476
770000 3.03007 0.384742
772500 3.03319 0.384091
775000 3.03615 0.383519
777500 3.03886 0.38317
780000 3.04126 0.382927
782500 3.04366 0.382774
785000 3.04604 0.382911
787500 3.04834 0.383075
790000 3.05048 0.38352
792500 3.0525 0.384126
795000 3.05434 0.385023
