# time  av_DeltaF  std_DeltaF
540000 6.53667 4.14195
542500 6.48658 4.18758
545000 6.44531 4.22837
547500 6.40845 4.27735
550000 6.37086 4.33221
552500 6.33045 4.3926
555000 6.31538 4.42926
557500 6.28871 4.43466
560000 6.28954 4.4246
562500 6.28195 4.38277
565000 6.26921 4.33358
567500 6.25682 4.29459
570000 6.25689 4.25039
572500 6.25785 4.21347
575000 6.25985 4.18569
577500 6.25252 4.14658
580000 6.24159 4.09585
582500 6.24262 4.03689
585000 6.24503 3.99166
587500 6.24621 3.95321
590000 6.24626 3.92359
592500 6.24695 3.90316
595000 6.2496 3.89042
597500 6.25133 3.88652
600000 6.2549 3.89039
602500 6.2588 3.90029
605000 6.26355 3.91728
607500 6.26608 3.94237
610000 6.26988 3.972
612500 6.27342 4.00967
615000 6.27854 4.05086
617500 6.29236 4.08831
620000 6.31434 4.11833
622500 6.3431 4.14033
625000 6.37145 4.16977
627500 6.40216 4.20047
630000 6.42998 4.23796
632500 6.45909 4.28309
635000 6.48881 4.33011
637500 6.52906 4.36509
640000 6.57237 4.40013
642500 6.61265 4.42798
645000 6.63854 4.44917
647500 6.66683 4.47237
650000 6.71435 4.47239
652500 6.75968 4.46133
655000 6.8053 4.42968
657500 6.86344 4.38787
660000 6.92824 4.33915
662500 7.00031 4.28384
665000 7.07265 4.23056
667500 7.14421 4.18245
670000 7.2157 4.13926
672500 7.28777 4.10087
675000 7.35524 4.06566
677500 7.4091 4.01305
680000 7.46657 3.9636
682500 7.52167 3.92027
685000 7.57598 3.88401
687500 7.63003 3.8497
690000 7.68512 3.82368
692500 7.74012 3.80151
695000 7.79309 3.7834
697500 7.84485 3.76988
700000 7.89711 3.76166
702500 7.95026 3.7569
705000 8.00353 3.75667
707500 8.05602 3.76144
710000 8.10102 3.74903
712500 8.13908 3.7255
715000 8.17818 3.70837
717500 8.2155 3.69785
720000 8.25279 3.6907
722500 8.29113 3.6889
725000 8.32775 3.6915
727500 8.36433 3.69681
730000 8.4008 3.70757
732500 8.43667 3.72369
735000 8.4756 3.74308
737500 8.51048 3.76705
740000 8.54714 3.79299
742500 8.58529 3.82215
745000 8.62109 3.85556
747500 8.6583 3.89483
750000 8.69518 3.93439
752500 8.73129 3.97621
755000 8.78517 3.98875
757500 8.84276 3.99779
760000 8.90086 4.00901
762500 8.95663 4.02467
765000 9.01294 4.04087
767500 9.06855 4.06151
770000 9.12426 4.08341
772500 9.17902 4.10688
775000 9.23244 4.13292
777500 9.27401 4.13799
780000 9.31619 4.14808
782500 9.35883 4.16172
785000 9.4004 4.17616
787500 9.44223 4.19545
790000 9.4831 4.21652
792500 9.52539 4.23961
795000 9.56658 4.26486
797500 9.61325 4.28615
800000 9.66362 4.30163
802500 9.71508 4.31901
805000 9.76517 4.33991
807500 9.81538 4.36179
810000 9.87565 4.36607
812500 9.93209 4.36947
815000 9.97007 4.36916
817500 10.008 4.37264
820000 10.0366 4.36811
822500 10.0635 4.3651
825000 10.0895 4.36643
827500 10.1155 4.3698
830000 10.1416 4.37618
832500 10.1689 4.38543
835000 10.1951 4.39781
837500 10.2224 4.41235
840000 10.2463 4.42775
842500 10.2611 4.43002
845000 10.2759 4.43597
847500 10.2907 4.44718
850000 10.3057 4.45944
852500 10.3202 4.47472
855000 10.3361 4.49391
857500 10.352 4.5142
860000 10.3677 4.53729
862500 10.3849 4.56302
865000 10.4016 4.59046
867500 10.4178 4.62126
870000 10.4333 4.65388
872500 10.4488 4.68805
875000 10.4642 4.72505
877500 10.479 4.7576
880000 10.4848 4.785
882500 10.4903 4.81279
885000 10.4956 4.84388
887500 10.501 4.87724
890000 10.5064 4.91223
892500 10.514 4.94573
895000 10.53 4.96616
897500 10.5366 4.9781
900000 10.5392 4.9876
902500 10.5438 4.9993
905000 10.5473 5.013
